Chn,Identifier,DLC,D0,D1,D2,D3,D4,D5,D6,D7,Time,Dir
0,000001CD,8,65,D0,F4,1,0,0,0,0,1.07008,R
0,1E9,8,C9,D0,F4,1,0,0,0,0,1.07033,R
0,329,8,2,0,0,0,1,0,0,0,1.0705,R
0,334,8,91,D1,F4,1,0,0,0,0,1.07076,R
0,382,8,2,0,0,0,1,0,0,0,1.07101,R
0,000004B1,8,2,0,0,0,1,0,0,0,1.07127,R
0,000004F2,8,2,0,0,0,1,0,0,0,1.07153,R
0,587,8,1,0,0,0,2,0,0,0,1.07178,R
0,370,8,2,0,0,0,1,0,0,0,1.07204,R
0,0000043F,8,2,0,0,0,1,0,0,0,1.07229,R
0,000004F1,8,2,0,0,0,1,0,0,0,1.07255,R
0,316,8,2,0,0,0,1,0,0,0,1.08049,R
0,329,8,2,0,0,0,1,0,0,0,1.08074,R
0,382,8,2,0,0,0,1,0,0,0,1.081,R
0,000004B1,8,2,0,0,0,1,0,0,0,1.08125,R
0,000004F2,8,2,0,0,0,1,0,0,0,1.08142,R
0,587,8,1,0,0,0,2,0,0,0,1.08168,R
0,0000017D,8,69,D0,F4,1,0,0,0,0,1.0827,R
0,0000017F,8,CD,D0,F4,1,0,0,0,0,1.08296,R
0,316,8,2,0,0,0,1,0,0,0,1.08962,R
0,329,8,2,0,0,0,1,0,0,0,1.08987,R
0,382,8,2,0,0,0,1,0,0,0,1.09013,R
0,000004B1,8,2,0,0,0,1,0,0,0,1.09038,R
0,000004F2,8,2,0,0,0,1,0,0,0,1.09064,R
0,587,8,1,0,0,0,2,0,0,0,1.0909,R
0,370,8,2,0,0,0,1,0,0,0,1.09115,R
0,0000043F,8,2,0,0,0,1,0,0,0,1.09141,R
0,000004F1,8,2,0,0,0,1,0,0,0,1.09166,R
0,316,8,2,0,0,0,1,0,0,0,1.09986,R
0,329,8,2,0,0,0,1,0,0,0,1.10003,R
0,382,8,2,0,0,0,1,0,0,0,1.10028,R
0,000004B1,8,2,0,0,0,1,0,0,0,1.10054,R
0,000004F2,8,2,0,0,0,1,0,0,0,1.1008,R
0,587,8,1,0,0,0,2,0,0,0,1.10105,R
0,120,4,F0,55,0,0,0,0,,,1.10336,R
0,316,8,2,0,0,0,1,0,0,0,1.10899,R
0,329,8,2,0,0,0,1,0,0,0,1.10924,R
0,000000A2,8,18,0,0,0,0,0,0,0,1.1095,R
0,000000B2,8,0,0,0,0,0,0,0,0,1.10976,R
0,000000C4,8,20,4E,0,0,0,0,0,0,1.11001,R
0,184,8,B1,D1,F4,1,0,0,0,0,1.11018,R
0,1E9,8,4D,D1,F4,1,0,0,0,0,1.11044,R
0,334,8,15,D2,F4,1,0,0,0,0,1.11069,R
0,382,8,2,0,0,0,1,0,0,0,1.11095,R
0,000004B1,8,2,0,0,0,1,0,0,0,1.11121,R
0,000004F2,8,2,0,0,0,1,0,0,0,1.11146,R
0,587,8,1,0,0,0,2,0,0,0,1.11172,R
0,370,8,2,0,0,0,1,0,0,0,1.11197,R
0,0000043F,8,2,0,0,0,1,0,0,0,1.11214,R
0,000004F1,8,2,0,0,0,1,0,0,0,1.1124,R
0,316,8,2,0,0,0,1,0,0,0,1.12042,R
0,329,8,2,0,0,0,1,0,0,0,1.12068,R
0,382,8,2,0,0,0,1,0,0,0,1.12093,R
0,000004B1,8,2,0,0,0,1,0,0,0,1.12119,R
0,000004F2,8,2,0,0,0,1,0,0,0,1.12145,R
0,587,8,1,0,0,0,2,0,0,0,1.1217,R
0,316,8,2,0,0,0,1,0,0,0,1.12964,R
0,329,8,2,0,0,0,1,0,0,0,1.12989,R
0,382,8,2,0,0,0,1,0,0,0,1.13015,R
0,000004B1,8,2,0,0,0,1,0,0,0,1.13041,R
0,000004F2,8,2,0,0,0,1,0,0,0,1.13066,R
0,587,8,1,0,0,0,2,0,0,0,1.13083,R
0,370,8,2,0,0,0,1,0,0,0,1.13109,R
0,0000043F,8,2,0,0,0,1,0,0,0,1.13134,R
0,000004F1,8,2,0,0,0,1,0,0,0,1.1316,R
0,316,8,2,0,0,0,1,0,0,0,1.13979,R
0,329,8,2,0,0,0,1,0,0,0,1.14005,R
0,382,8,2,0,0,0,1,0,0,0,1.1403,R
0,000004B1,8,2,0,0,0,1,0,0,0,1.14056,R
0,000004F2,8,2,0,0,0,1,0,0,0,1.14082,R
0,587,8,1,0,0,0,2,0,0,0,1.14099,R
0,316,8,2,0,0,0,1,0,0,0,1.14901,R
0,329,8,2,0,0,0,1,0,0,0,1.14918,R
0,184,8,D1,D1,F4,1,0,0,0,0,1.14944,R
0,000001C7,8,A5,D0,F4,1,0,0,0,0,1.14969,R
0,000001CD,8,9,D1,F4,1,0,0,0,0,1.14995,R
0,1E9,8,6D,D1,F4,1,0,0,0,0,1.1502,R
0,334,8,35,D2,F4,1,0,0,0,0,1.15037,R
0,382,8,2,0,0,0,1,0,0,0,1.15063,R
0,000004B1,8,2,0,0,0,1,0,0,0,1.15089,R
0,000004F2,8,2,0,0,0,1,0,0,0,1.15114,R
0,587,8,1,0,0,0,2,0,0,0,1.1514,R
0,370,8,2,0,0,0,1,0,0,0,1.15165,R
0,0000043F,8,2,0,0,0,1,0,0,0,1.15191,R
0,000004F1,8,2,0,0,0,1,0,0,0,1.15217,R
0,000000A2,8,18,0,0,0,0,0,0,0,1.15933,R
0,000000B2,8,0,0,0,0,0,0,0,0,1.15959,R
0,000000C4,8,20,4E,0,0,0,0,0,0,1.15985,R
0,316,8,2,0,0,0,1,0,0,0,1.1601,R
0,329,8,2,0,0,0,1,0,0,0,1.16036,R
0,382,8,2,0,0,0,1,0,0,0,1.16061,R
0,000004B1,8,2,0,0,0,1,0,0,0,1.16087,R
0,000004F2,8,2,0,0,0,1,0,0,0,1.16113,R
0,587,8,1,0,0,0,2,0,0,0,1.16138,R
0,316,8,2,0,0,0,1,0,0,0,1.16932,R
