Chn,Identifier Flg,DLC,D0,...1,...2,...3,...4,...5,...6,..D7,Time,Dir
0,000001C3,8,DE,B4,D4,9,0,0,0,0,0.26103,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.26129,R
0,000002C3,8,10,B5,D4,9,0,0,0,0,0.26146,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.26172,R
0,000003C1,8,74,B5,D4,9,0,0,0,0,0.26197,R
0,000001E5,8,3,0,0,0,0,0,0,0,0.26223,R
0,000003D1,8,3C,B6,D4,9,0,0,0,0,0.26249,R
0,000003E9,8,D8,B5,D4,9,0,0,0,0,0.26274,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.26342,R
0,00000121,4,2,0,0,0,,,,,0.26359,R
0,00000130,4,10,27,0,0,,,,,0.26377,R
0,000000C9,8,83,B5,D4,9,0,0,0,0,0.26974,R
0,00000191,8,0,0,0,0,0,0,0,0,0.26999,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.27119,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.27145,R
0,000001CD,8,8,0,0,0,0,0,0,0,0.2717,R
0,000001E5,8,3,0,0,0,0,0,0,0,0.27196,R
0,00000184,8,4,0,0,0,0,0,0,0,0.27221,R
0,000001E9,8,5,0,0,0,0,0,0,0,0.27247,R
0,00000334,8,6,0,0,0,0,0,0,0,0.27273,R
0,00000199,8,0,0,0,0,0,0,0,FF,0.27298,R
0,000000F9,8,0,0,0,0,0,0,FF,0,0.27324,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.27349,R
0,0000019D,8,0,0,0,0,0,FF,FF,0,0.27366,R
0,000001C7,8,7,0,0,0,0,0,0,0,0.27392,R
0,000001F5,8,0,0,0,0,0,FF,0,0,0.27418,R
0,000000C9,8,92,B5,D4,9,0,0,0,0,0.27981,R
0,00000191,8,0,0,0,0,0,0,0,0,0.28006,R
0,000001F3,8,0,0,0,0,0,0,0,0,0.28041,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.28117,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.28143,R
0,000001E5,8,3,0,0,0,0,0,0,0,0.28169,R
0,000001A1,8,40,B5,0,0,0,0,0,0,0.28211,R
0,000001C3,8,98,B5,D4,9,0,0,0,0,0.28237,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.28339,R
